file,vowels,repetation,participant,gender,lang_ability,generation,mean_f1,mean_f2,mean_f3,context
s2-06-ae-taett1.TextGrid,ae,2,participant2,male,monolingual,elder,711.0751067,2103.402729,2705.640938,taett1
s2-06-ae-taett1.TextGrid,ae,3,participant2,male,monolingual,elder,661.6198147,1918.66025,2796.701157,taett1
s2-15-i-sWi.TextGrid,i,1,participant2,male,monolingual,elder,273.9480488,2145.353773,3347.461406,sWi
s2-15-i-sWi.TextGrid,i,2,participant2,male,monolingual,elder,303.2101371,2354.54615,3355.503263,sWi
s2-15-i-sWi.TextGrid,i,3,participant2,male,monolingual,elder,309.9548259,2192.414703,3384.687103,sWi
s2-16-i-si.TextGrid,i,1,participant2,male,monolingual,elder,248.6981622,2233.233373,3300.375119,si
s2-16-i-si.TextGrid,i,2,participant2,male,monolingual,elder,251.1524876,2490.431945,3449.511302,si
s2-16-i-si.TextGrid,i,3,participant2,male,monolingual,elder,257.6880732,2507.320195,3411.036104,si
s2-17-i-siWr.TextGrid,i,1,participant2,male,monolingual,elder,291.8629099,2097.439658,3302.844475,siWr
s2-17-i-siWr.TextGrid,i,2,participant2,male,monolingual,elder,281.8629679,2060.963355,3235.288209,siWr
s2-17-i-siWr.TextGrid,i,3,participant2,male,monolingual,elder,299.1569014,1980.802396,3070.355558,siWr
s2-18-i-sil.TextGrid,i,1,participant2,male,monolingual,elder,281.0824926,2104.293163,2982.982905,sil
s2-18-i-sil.TextGrid,i,2,participant2,male,monolingual,elder,302.1163317,2059.586982,2961.686314,sil
s2-18-i-sil.TextGrid,i,3,participant2,male,monolingual,elder,316.5727755,2027.082779,2931.466533,sil
s2-19-u-ur.TextGrid,a,1,participant2,male,monolingual,elder,355.6856646,823.0473944,3172.33637,ur
s2-25-y-yw.TextGrid,u,1,participant2,male,monolingual,elder,315.8894459,1017.059898,2641.685425,yw
s2-25-y-yw.TextGrid,u,2,participant2,male,monolingual,elder,360.4936029,1124.227478,2439.620267,yw
s2-25-y-yw.TextGrid,u,3,participant2,male,monolingual,elder,314.793614,1103.473475,2829.996811,yw
s3-01-a-bar.TextGrid,a,1,participant3,female,bilingual,younger,932.2225217,1400.434752,3098.36048,bar
s3-01-a-bar.TextGrid,a,2,participant3,female,bilingual,younger,899.7296743,1409.874515,3026.166628,bar
s3-01-a-bar.TextGrid,a,3,participant3,female,bilingual,younger,937.9108713,1436.661439,2939.835602,bar
s3-02-a-bat.TextGrid,a,1,participant3,female,bilingual,younger,961.4724751,1406.215736,3099.229165,bat
s3-02-a-bat.TextGrid,a,2,participant3,female,bilingual,younger,946.7860371,1410.032585,3080.860749,bat
s3-02-a-bat.TextGrid,a,3,participant3,female,bilingual,younger,962.8106586,1451.575128,3191.408558,bat
s3-03-a-dar.TextGrid,a,1,participant3,female,bilingual,younger,942.3604876,1424.524762,3011.74871,dar
s3-03-a-dar.TextGrid,a,2,participant3,female,bilingual,younger,953.7284499,1414.961492,3203.989621,dar
s3-03-a-dar.TextGrid,a,3,participant3,female,bilingual,younger,929.6521048,1412.079655,3094.632124,dar
s3-04-ae-daer1.TextGrid,ae,1,participant3,female,bilingual,younger,629.8878953,2086.866178,3050.76274,daer1
s3-04-ae-daer1.TextGrid,ae,2,participant3,female,bilingual,younger,687.3806229,2064.043656,3091.666934,daer1
s3-04-ae-daer1.TextGrid,ae,3,participant3,female,bilingual,younger,660.6626556,2072.954223,3139.342803,daer1
s3-05-a-tat.TextGrid,a,1,participant3,female,bilingual,younger,1016.668119,1493.856492,3142.10198,tat
s3-05-a-tat.TextGrid,a,2,participant3,female,bilingual,younger,1042.924789,1473.592177,3131.724182,tat
s3-05-a-tat.TextGrid,a,3,participant3,female,bilingual,younger,994.3409389,1520.282302,3089.806935,tat
s3-06-ae-taett1.TextGrid,ae,1,participant3,female,bilingual,younger,791.47346,2007.387641,3045.818367,taett1
s3-06-ae-taett1.TextGrid,ae,2,participant3,female,bilingual,younger,729.3772019,1958.989026,3025.225696,taett1
s3-06-ae-taett1.TextGrid,ae,3,participant3,female,bilingual,younger,763.3638933,2004.550362,3036.080839,taett1
s3-15-i-sWi.TextGrid,i,1,participant3,female,bilingual,younger,318.8315255,2866.515199,3693.6218,sWi
s3-15-i-sWi.TextGrid,i,2,participant3,female,bilingual,younger,323.4674604,2828.029617,3481.09043,sWi
s3-15-i-sWi.TextGrid,i,3,participant3,female,bilingual,younger,343.4705189,2856.309858,3518.395827,sWi
s3-16-i-si.TextGrid,i,1,participant3,female,bilingual,younger,322.3298604,3013.797363,3932.80332,si
s3-16-i-si.TextGrid,i,2,participant3,female,bilingual,younger,295.4412867,3007.678165,3892.425974,si
s3-16-i-si.TextGrid,i,3,participant3,female,bilingual,younger,308.2768673,2970.13252,3889.659414,si
s3-17-i-siWr.TextGrid,i,1,participant3,female,bilingual,younger,325.2464512,2781.115483,3558.460531,siWr
s3-17-i-siWr.TextGrid,i,2,participant3,female,bilingual,younger,321.3464054,2876.583558,3639.234809,siWr
s3-17-i-siWr.TextGrid,i,3,participant3,female,bilingual,younger,334.110497,2799.756257,3406.390642,siWr
s3-18-i-sil.TextGrid,i,1,participant3,female,bilingual,younger,367.5823503,2739.219329,3498.449313,sil
s3-18-i-sil.TextGrid,i,2,participant3,female,bilingual,younger,370.5122533,2690.177499,3251.251099,sil
s3-18-i-sil.TextGrid,i,3,participant3,female,bilingual,younger,341.8684985,2772.91124,3247.90616,sil
s3-25-y-yw.TextGrid,u,1,participant3,female,bilingual,younger,397.991806,823.9755944,2618.752474,yw
s3-25-y-yw.TextGrid,u,2,participant3,female,bilingual,younger,327.5097735,856.8256228,2478.466944,yw
s3-25-y-yw.TextGrid,u,3,participant3,female,bilingual,younger,373.6557586,886.852386,2612.12623,yw
s4-01-a-bar.TextGrid,a,1,participant4,female,monolingual,younger,889.4575885,1375.729036,2814.233355,bar
s4-01-a-bar.TextGrid,a,2,participant4,female,monolingual,younger,876.9823027,1460.198997,2687.393094,bar
s4-01-a-bar.TextGrid,a,3,participant4,female,monolingual,younger,919.6704156,1464.336562,2802.399746,bar
s4-02-a-bat.TextGrid,a,1,participant4,female,monolingual,younger,796.7671344,1389.729945,2970.183389,bat
s4-02-a-bat.TextGrid,a,2,participant4,female,monolingual,younger,816.3834386,1340.980947,2956.746182,bat
s4-02-a-bat.TextGrid,a,3,participant4,female,monolingual,younger,881.7888538,1417.655987,2627.490484,bat
s4-03-a-dar.TextGrid,a,1,participant4,female,monolingual,younger,931.3578911,1527.288694,2658.360955,dar
s4-03-a-dar.TextGrid,a,2,participant4,female,monolingual,younger,949.7032578,1499.833183,2316.283305,dar
s4-03-a-dar.TextGrid,a,3,participant4,female,monolingual,younger,928.7883759,1452.335145,2423.738921,dar
s4-04-ae-daer1.TextGrid,ae,1,participant4,female,monolingual,younger,858.6226597,1868.137413,2616.163165,daer1
s4-04-ae-daer1.TextGrid,ae,2,participant4,female,monolingual,younger,856.1339578,1772.159981,2549.666843,daer1
s4-04-ae-daer1.TextGrid,ae,3,participant4,female,monolingual,younger,853.611826,1909.345011,2614.10143,daer1
s4-05-a-tat.TextGrid,a,1,participant4,female,monolingual,younger,802.0549273,1320.004853,1692.604322,tat
s4-05-a-tat.TextGrid,a,2,participant4,female,monolingual,younger,1060.138136,1531.355513,2302.876099,tat
s4-05-a-tat.TextGrid,a,3,participant4,female,monolingual,younger,990.2318783,1650.210518,2848.559311,tat
s4-06-ae-taett1.TextGrid,ae,1,participant4,female,monolingual,younger,944.0002057,1851.414614,2691.868995,taett1
s4-06-ae-taett1.TextGrid,ae,2,participant4,female,monolingual,younger,829.3761598,1743.015927,2416.699338,taett1
s4-06-ae-taett1.TextGrid,ae,3,participant4,female,monolingual,younger,812.9509239,1786.612062,2456.36935,taett1
s4-11-W-WrWm.TextGrid,a,1,participant4,female,monolingual,younger,615.7399188,1341.113999,2760.126735,WrWm
